"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-02-21 ~ 2026-02-20"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 광주광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","광주광역시 서구 금호동","769","0769","0000","모아엘가","75.0300","202602","19","21,400","-","4","개인","개인","1998","금화로149번길 27","-","중개거래","광주 서구","-"
"2","광주광역시 북구 임동","637","0637","0000","임동중흥에스클래스센텀파크","84.9506","202602","19","61,000","-","16","개인","개인","2021","임동로 7","-","중개거래","광주 북구","-"
"3","광주광역시 서구 쌍촌동","1337-3","1337","0003","중흥에스-클래스","59.9854","202602","19","32,500","-","7","개인","개인","2006","상무민주로 104","-","중개거래","광주 서구","-"
"4","광주광역시 북구 동림동","1334","1334","0000","동림대광로제비앙","74.7877","202602","19","35,000","-","21","개인","개인","2020","운암산길 48","-","중개거래","광주 북구","-"
"5","광주광역시 서구 치평동","1218","1218","0000","상무지구리채시티","20.0778","202602","19","6,200","-","6","개인","개인","2014","시청로 71","-","중개거래","광주 서구","-"
"6","광주광역시 북구 신용동","737","0737","0000","광주첨단2지구사랑으로부영","60.4624","202602","19","25,500","-","9","개인","개인","2013","첨단연신로 166","-","중개거래","광주 북구","-"
"7","광주광역시 광산구 운남동","777-1","0777","0001","운남주공3단지","59.7600","202602","19","11,000","-","13","개인","개인","1996","목련로 307-11","-","중개거래","광주 광산구","-"
"8","광주광역시 광산구 산월동","883-1","0883","0001","호반리젠시빌4","83.7154","202602","19","33,800","-","11","개인","개인","2003","첨단중앙로68번길 99","-","중개거래","광주 광산구","-"
"9","광주광역시 북구 양산동","288-15","0288","0015","호반","59.9500","202602","19","15,300","-","7","개인","개인","1997","연양로28번길 27","20260219","중개거래","광주 북구","-"
"10","광주광역시 광산구 월계동","757-7","0757","0007","첨단금광","92.1150","202602","18","28,400","-","8","개인","개인","1997","첨단중앙로181번길 42-4","-","중개거래","광주 광산구","-"
"11","광주광역시 서구 금호동","770","0770","0000","금호2지구도개공1단지","49.9200","202602","18","13,000","-","5","개인","개인","1998","금화로115번길 12","-","중개거래","광주 서구","-"
"12","광주광역시 남구 압촌동","508","0508","0000","에너지밸리풍경채퍼스트파크","84.9284","202602","15","29,800","-","9","개인","개인","2022","도시첨단산업로 58","-","중개거래","광주 북구, 광주 서구","-"
"13","광주광역시 남구 양림동","505","0505","0000","휴먼시아1단지","84.7700","202602","15","31,000","-","17","개인","개인","2008","제중로 11","-","중개거래","광주 남구","-"
"14","광주광역시 서구 치평동","1166-2","1166","0002","금호대우","59.9400","202602","15","21,500","-","12","개인","개인","1998","치평로 107","-","중개거래","광주 서구","-"
"15","광주광역시 광산구 신창동","1108-3","1108","0003","삼능","84.9860","202602","15","25,500","-","4","개인","개인","2003","신창로 20","-","중개거래","광주 광산구, 광주 북구","-"
"16","광주광역시 광산구 신창동","1111","1111","0000","신창5차호반베르디움","84.6799","202602","15","37,500","-","18","개인","개인","2005","왕버들로251번길 27","-","중개거래","광주 광산구","-"
"17","광주광역시 광산구 쌍암동","695-1","0695","0001","힐스테이트리버파크","74.7900","202602","14","54,500","-","35","개인","개인","2019","첨단강변로 100","-","중개거래","광주 광산구","-"
"18","광주광역시 광산구 산정동","1027","1027","0000","다사로움2단지","59.9451","202602","14","22,900","-","7","개인","개인","2009","목련로 15","-","중개거래","광주 광산구","-"
"19","광주광역시 광산구 신가동","1336","1336","0000","모아엘가더수완","84.9831","202602","14","53,000","-","4","개인","개인","2022","목련로381번길 27","-","중개거래","광주 광산구","-"
"20","광주광역시 광산구 신창동","1292","1292","0000","신창유탑유블레스리버뷰","84.9882","202602","14","38,500","-","15","개인","개인","2020","장신로 306-37","-","중개거래","광주 광산구, 광주 북구","-"
"21","광주광역시 북구 삼각동","835","0835","0000","일곡엘리체프라임","74.1967","202602","14","32,500","-","3","개인","개인","2016","설죽로 419","-","중개거래","광주 북구","-"
"22","광주광역시 광산구 쌍암동","676-3","0676","0003","첨단센트럴파크2차","41.8300","202602","14","14,200","-","14","개인","개인","2018","첨단중앙로170번길 87","-","중개거래","광주 광산구","-"
"23","광주광역시 북구 우산동","831","0831","0000","무등산자이앤어울림2단지","59.9883","202602","14","41,300","-","13","개인","개인","2025","동문대로65번길 20","-","중개거래","광주 북구","-"
"24","광주광역시 남구 임암동","855","0855","0000","효천1중흥에스-클래스에코파크","84.9772","202602","14","40,800","-","15","개인","개인","2019","효천3로 110","-","중개거래","광주 남구","-"
"25","광주광역시 남구 지석동","444","0444","0000","일진스위트포레","78.4538","202602","14","23,500","-","2","개인","개인","2020","고싸움로164번길 22","-","중개거래","광주 남구","-"
"26","광주광역시 남구 봉선동","1092","1092","0000","봉선동제일풍경채엘리트파크","84.9680","202602","14","83,800","-","11","개인","개인","2016","제석로80번길 5","-","중개거래","광주 남구","-"
"27","광주광역시 서구 금호동","740-2","0740","0002","삼능공간","84.9200","202602","14","20,600","-","1","개인","개인","1994","운천로56번길 19","-","중개거래","광주 서구","-"
"28","광주광역시 서구 동천동","515","0515","0000","동천 리버팰리스","84.9500","202602","14","35,500","-","14","개인","개인","2008","동천로18번길 19","-","중개거래","광주 서구","-"
"29","광주광역시 서구 쌍촌동","1337-3","1337","0003","중흥에스-클래스","59.9854","202602","14","32,500","-","7","개인","개인","2006","상무민주로 104","20260219","중개거래","광주 서구","-"
"30","광주광역시 북구 문흥동","1010-7","1010","0007","문흥제일파크","49.9500","202602","14","9,700","-","4","개인","개인","1994","천지인로 191","-","중개거래","광주 북구","-"
"31","광주광역시 서구 쌍촌동","1337","1337","0000","우미아트빌2","59.8276","202602","14","28,250","-","15","개인","개인","2002","상무민주로 120","-","중개거래","광주 서구","-"
"32","광주광역시 서구 치평동","1166-5","1166","0005","한국","59.9750","202602","14","19,800","-","7","개인","개인","1998","상무시민로 65","-","중개거래","광주 북구, 광주 서구","-"
"33","광주광역시 동구 계림동","1869","1869","0000","계림아이파크에스케이뷰","72.6919","202602","14","49,200","-","2","개인","개인","2022","필문대로 70","-","중개거래","광주 동구","-"
"34","광주광역시 동구 계림동","1869","1869","0000","계림아이파크에스케이뷰","76.9879","202602","14","59,300","-","13","개인","개인","2022","필문대로 70","-","중개거래","광주 동구","-"
