"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-06-20 ~ 2026-06-27"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","광주광역시 서구 풍암동","1132","1132","0000","우미광장","33.7075","202606","26","8,100","-","2","개인","개인","2000","풍암순환로 183","-","중개거래","광주 서구","-"
"2","경기도 고양시 일산서구 주엽동","60","0060","0000","강선마을9단지화성","57.2700","202606","26","29,200","-","3","개인","개인","1993","강성로 62","-","중개거래","경기 고양시 일산서구","-"
"3","경상북도 영천시 망정동","461-1","0461","0001","청솔","47.1934","202606","26","4,800","-","5","개인","개인","2001"," ","-","직거래","-","-"
"4","광주광역시 광산구 송정동","425-2","0425","0002","라인1","59.9100","202606","26","11,500","-","9","개인","개인","1997","용보로27번길 46","20260626","중개거래","광주 광산구","-"
"5","충청남도 아산시 탕정면 동산리","421","0421","0000","한라아파트","49.9700","202606","26","11,000","-","13","개인","개인","1997","탕정면로 379-20","-","중개거래","충남 아산시","-"
"6","광주광역시 광산구 송정동","425-2","0425","0002","라인1","59.9100","202606","26","11,500","-","9","개인","개인","1997","용보로27번길 46","-","중개거래","광주 광산구","-"
"7","충청남도 보령시 명천동","1114","1114","0000","더퍼스트예미지","66.9474","202606","26","33,000","-","13","개인","개인","2019","주공로 100","-","중개거래","충남 보령시","-"
"8","경상남도 김해시 진영읍 진영리","1691","1691","0000","진영이진캐스빌","84.9723","202606","26","28,200","-","20","개인","개인","2017","진산대로 61","-","중개거래","경남 김해시","-"
"9","광주광역시 남구 임암동","728","0728","0000","효천시티프라디움","84.9948","202606","26","43,000","-","16","개인","개인","2019","효천2로 1","-","중개거래","광주 남구","-"
"10","경기도 시흥시 배곧동","155","0155","0000","시흥배곧한신더휴","73.9549","202606","26","56,300","-","25","개인","개인","2018","배곧4로 106-26","-","중개거래","경기 시흥시","-"
"11","경기도 화성시 동탄구 능동","1150","1150","0000","동탄푸른마을신일해피트리","59.0500","202606","26","47,900","-","17","개인","개인","2008","동탄공원로 21-39","-","중개거래","경기 화성시 동탄구","-"
"12","부산광역시 북구 만덕동","962","0962","0000","이편한세상금정산","84.9378","202606","26","45,500","-","10","개인","개인","2021","상학로 36","-","중개거래","부산 북구","-"
"13","충청남도 논산시 대교동","336","0336","0000","논산코아루","59.9575","202606","26","20,500","-","8","개인","개인","2015","대화로133번길 13","-","중개거래","충남 논산시","-"
"14","충청남도 아산시 탕정면 호산리","497","0497","0000","홍익","39.1500","202606","26","6,000","-","8","개인","개인","1999","선문로 385","-","중개거래","충남 아산시","-"
"15","광주광역시 광산구 우산동","1621","1621","0000","세계수영선수촌 중흥에스-클래스 센트럴","84.9276","202606","26","36,000","-","18","개인","개인","2020","금봉로 106","-","중개거래","광주 광산구","-"
"16","전라남도 무안군 일로읍 오룡리","17","0017","0000","오룡에듀포레푸르지오(1단지)","84.9783","202606","26","41,000","-","8","개인","개인","2020","오룡중앙동로 37","-","중개거래","전남 무안군","-"
"17","인천광역시 남동구 간석동","939-1","0939","0001","간석래미안자이","84.9800","202606","26","56,000","-","22","개인","개인","2008","남동대로 860","-","직거래","-","-"
"18","경상북도 포항시 북구 양덕동","786-1","0786","0001","양덕삼구트리니엔3차","84.9599","202606","26","24,400","-","7","개인","개인","2015","천마로 123","-","중개거래","경북 포항시 북구","-"
"19","경상북도 경산시 사정동","124","0124","0000","옥산삼산타운","59.9600","202606","26","8,200","-","12","개인","개인","1995","선비길 57","-","중개거래","경북 경산시","-"
"20","경상남도 진주시 문산읍 소문리","2421","2421","0000","진주문산코아루","84.5910","202606","26","34,700","-","22","개인","개인","2010","월아산로1117번길 5","-","중개거래","경남 진주시","-"
"21","부산광역시 북구 덕천동","132-65","0132","0065","롯데","84.7504","202606","26","19,000","-","5","개인","개인","2004","함박봉로 26","-","중개거래","부산 북구","-"
"22","인천광역시 서구 원당동","852-1","0852","0001","대림e편한세상(원당지구78BL1L)","84.9810","202606","26","33,000","-","14","개인","개인","2004","고산로40번길 12","-","중개거래","인천 서구","-"
"23","강원특별자치도 삼척시 정상동","457-3","0457","0003","석미","56.9700","202606","26","7,600","-","4","개인","개인","1998","청석로 78","-","중개거래","강원 삼척시","-"
"24","경기도 평택시 안중읍 현화리","828-1","0828","0001","늘푸른사랑마을","59.7550","202606","26","10,000","-","3","개인","개인","1999","안현로서7길 79","-","중개거래","경기 평택시","-"
"25","경기도 화성시 동탄구 장지동","977","0977","0000","동탄2신도시호반베르디움33단지","76.7676","202606","26","52,000","-","12","개인","개인","2018","동탄대로4다길 78","-","중개거래","경기 화성시 동탄구","-"
"26","경상북도 김천시 신음동","394-3","0394","0003","현대1","84.6020","202606","26","17,000","-","1","개인","개인","1996","시청로 46","-","중개거래","경북 김천시","-"
"27","인천광역시 중구 중산동","1887-4","1887","0004","e편한세상영종국제도시오션하임","84.9777","202606","26","41,000","-","4","개인","개인","2018","두미포로 112","-","중개거래","인천 중구","-"
"28","경상남도 양산시 명동","1079-3","1079","0003","명동삼한사랑채아파트","59.9880","202606","26","17,900","-","25","개인","개인","2015","대운로 145","-","직거래","-","-"
"29","부산광역시 연제구 거제동","840","0840","0000","현대","72.7700","202606","26","40,500","-","10","개인","개인","1986","거제대로 198","-","직거래","-","-"
"30","전북특별자치도 전주시 완산구 서신동","961","0961","0000","동아한일","59.7060","202606","26","18,500","-","7","개인","개인","1999","새터로 95","-","중개거래","전북 전주시 덕진구, 전북 전주시 완산구","-"
"31","경기도 고양시 덕양구 삼송동","306","0306","0000","고양삼송동원로얄듀크","84.9609","202606","26","69,400","-","8","개인","개인","2012","세솔로 105","-","중개거래","경기 고양시 덕양구","-"
"32","광주광역시 서구 금호동","809","0809","0000","호반리젠시빌5차","84.8910","202606","26","31,500","-","6","개인","개인","2002","화개1로78번길 8","-","중개거래","광주 서구","-"
"33","경기도 용인시 기흥구 마북동","617","0617","0000","교동마을엘지","123.5740","202606","26","58,800","-","8","개인","개인","2001","마북로 182","-","중개거래","경기 용인시 기흥구","-"
"34","광주광역시 서구 동천동","615","0615","0000","호반베르디움","84.8580","202606","26","45,500","-","11","개인","개인","2008","하남대로680번길 10","-","중개거래","광주 서구","-"
"35","경기도 고양시 덕양구 신원동","595","0595","0000","고양삼송동일스위트파크뷰7(1차)","84.0785","202606","26","65,250","-","27","공공기관","개인","2017","신원2로 50","-","중개거래","경기 고양시 덕양구","-"
"36","충청북도 청주시 상당구 용암동","2060","2060","0000","부영","60.0000","202606","26","11,100","-","8","개인","개인","1996","월평로 243","-","중개거래","충북 청주시 상당구","-"
"37","전라남도 해남군 해남읍 구교리","1006","1006","0000","해남파크사이드2차아파트","115.8996","202606","26","43,800","-","19","개인","개인","2019","구교3길 36-15","-","중개거래","전남 해남군","-"
"38","경기도 평택시 안중읍 현화리","820-1","0820","0001","건영캐스빌","70.0200","202606","26","17,300","-","5","개인","개인","2005","안현로서9길 164-9","-","중개거래","경기 평택시","-"
"39","경상남도 김해시 삼계동","1435","1435","0000","화정마을부영6차","49.8420","202606","26","11,000","-","9","개인","개인","2003","김해대로 1864","-","중개거래","경남 김해시","-"
"40","경상남도 김해시 삼문동","1267","1267","0000","장유덕산아내에코캐슬","84.8188","202606","26","27,500","-","2","개인","개인","2018","대청로 237","-","중개거래","경남 김해시","-"
"41","경상남도 창원시 성산구 반림동","10","0010","0000","노블파크","84.9800","202606","26","57,500","-","2","개인","개인","2007","원이대로 449","-","중개거래","경남 창원시 성산구","-"
"42","충청남도 천안시 서북구 성정동","1317","1317","0000","프라지움5차","49.9550","202606","26","9,950","-","9","개인","개인","2015","오성로 120","-","직거래","-","-"
"43","충청남도 서산시 예천동","1734","1734","0000","서산푸르지오더센트럴","69.9383","202606","26","35,000","-","4","개인","개인","2023","예천3로 72","-","중개거래","충남 서산시","-"
"44","광주광역시 서구 치평동","1330","1330","0000","갤러리303","152.2300","202606","26","62,000","-","8","개인","개인","2010","상무누리로 33","-","중개거래","광주 서구","-"
"45","충청남도 천안시 서북구 성성동","827","0827","0000","천안시티자이","74.6803","202606","26","41,000","-","23","개인","개인","2018","성성6로 21","-","중개거래","충남 천안시 서북구","-"
"46","경기도 고양시 일산서구 주엽동","128","0128","0000","문촌마을18단지대원","159.2100","202606","26","89,000","-","12","개인","개인","1995","주엽로 97","-","중개거래","경기 고양시 일산서구","-"
"47","부산광역시 강서구 명지동","3234","3234","0000","명지두산위브포세이돈","84.9791","202606","26","34,700","-","11","개인","개인","2013","명지오션시티11로 22","-","중개거래","부산 강서구","-"
"48","광주광역시 북구 각화동","724","0724","0000","더샵광주포레스트","84.9987","202606","26","46,000","-","36","개인","개인","2023","동문대로249번길 12","-","중개거래","광주 북구","-"
"49","경기도 화성시 동탄구 능동","1150","1150","0000","동탄푸른마을신일해피트리","59.0500","202606","26","44,500","-","10","개인","개인","2008","동탄공원로 21-39","-","중개거래","경기 화성시 동탄구","-"
