"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2026-03-14 ~ 2026-03-20"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","충청남도 아산시 탕정면 매곡리","1385","1385","0000","한들물빛도시신영지웰시티센트럴푸르지오1단지","68.7765","202603","20","56,700","-","6","개인","개인","2022","한들물빛도시로 69","-","중개거래","충남 아산시","-"
"2","경기도 광주시 곤지암읍 삼리","125-1","0125","0001","곤지암킴스빌리지","35.6300","202603","20","12,000","-","16","개인","개인","2001","평촌길 20","-","중개거래","경기 광주시","-"
"3","경기도 용인시 기흥구 상갈동","461","0461","0000","금화대우현대1단지","138.4980","202603","20","58,000","-","2","개인","개인","2001","금화로82번길 14","-","중개거래","경기 용인시 기흥구","-"
"4","부산광역시 부산진구 부암동","756","0756","0000","롯데캐슬라센트","59.2000","202603","20","42,000","-","19","개인","개인","2025","백양순환로 75","-","직거래","-","-"
"5","광주광역시 북구 용봉동","1075","1075","0000","용봉3차대주파크빌","84.5458","202603","20","23,000","-","8","개인","개인","2005","용봉택지로 25","-","중개거래","광주 북구","-"
"6","충청남도 천안시 서북구 두정동","2068","2068","0000","한화포레나천안두정","76.8181","202603","20","40,000","-","7","개인","개인","2022","천안대로 980-17","-","중개거래","충남 천안시 서북구","-"
"7","울산광역시 북구 천곡동","418","0418","0000","삼성코아루","75.9930","202603","20","24,500","-","18","개인","개인","2005","천곡남로 37","-","중개거래","울산 북구","-"
"8","부산광역시 부산진구 부암동","55-6","0055","0006","일성인포","76.2000","202603","20","22,200","-","21","개인","개인","1997","신천대로 252","-","중개거래","부산 부산진구","-"
"9","광주광역시 광산구 신창동","1111","1111","0000","신창5차호반베르디움","84.9429","202603","20","31,500","-","17","개인","개인","2005","왕버들로251번길 27","-","중개거래","광주 광산구","-"
"10","부산광역시 강서구 명지동","3343","3343","0000","명지2차금강펜테리움센트럴파크","84.2513","202603","20","39,000","-","24","개인","개인","2016","명지국제5로 109","-","중개거래","부산 강서구","-"
"11","경기도 남양주시 평내동","87","0087","0000","효성타운","84.7800","202603","20","37,800","-","3","개인","개인","1998","경춘로1350번길 34","-","중개거래","경기 남양주시","-"
"12","경상북도 경산시 정평동","276","0276","0000","정평역하늘채RIVERPARK","84.9882","202603","20","40,000","-","15","개인","개인","2020","정평길 30","-","직거래","-","-"
"13","울산광역시 북구 천곡동","1152","1152","0000","새천곡한신휴플러스1단지","84.9870","202603","20","30,400","-","7","개인","개인","2013","천곡남로 97","-","중개거래","울산 북구","-"
"14","경상북도 경산시 사동","650-1","0650","0001","부영2차","84.9768","202603","20","18,000","-","12","개인","개인","2001","장산로 319","-","직거래","-","-"
"15","충청남도 서산시 갈산동","192","0192","0000","세창리베하우스","84.7766","202603","20","12,000","-","10","개인","개인","2002","갓고개길 14","-","중개거래","충남 서산시","-"
"16","경상남도 양산시 남부동","602-1","0602","0001","현대롯데청어람","59.7730","202603","20","19,800","-","4","개인","개인","2005","양주로 94","-","중개거래","경남 양산시","-"
"17","전라남도 여수시 소호동","428-1","0428","0001","목련","84.9200","202603","20","15,000","-","4","기타","개인","1997","소호7길 19","-","직거래","-","-"
"18","경상북도 포항시 북구 창포동","656","0656","0000","창포메트로시티2단지","84.6930","202603","20","25,000","-","29","개인","개인","2018","우창로 166","-","중개거래","경북 포항시 북구","-"
"19","경상남도 창원시 진해구 남문동","1274-1","1274","0001","시티프라디움1차아파트","59.9808","202603","20","16,200","-","10","개인","개인","2017","웅천동로 16","-","중개거래","경남 창원시 진해구","-"
"20","충청남도 천안시 서북구 성성동","827","0827","0000","천안시티자이","59.9934","202603","20","38,000","-","16","개인","개인","2018","성성6로 21","-","중개거래","충남 천안시 서북구","-"
"21","경상남도 김해시 신문동","1522","1522","0000","대청천경동리인뷰","67.7974","202603","20","35,500","-","24","개인","개인","2023","장유로334번길 30","-","중개거래","경남 김해시","-"
"22","경기도 화성시 병점구 기산동","464","0464","0000","삼성래미안1차","84.9870","202603","20","32,000","-","14","개인","개인","2003"," 333","-","중개거래","경기 화성시 병점구","-"
